"","X","Y","Class","Ultra_Blue","Blue","Green","Red","NIR","SWNIR_1","SWNIR_2","Cirrus"
"87",789203.7356,1426248.601,2,10237,10048,10438,11322,17162,19007,14825,5082
"131",780629.647,1412656.65,3,8753,7970,7497,6633,15292,10483,7439,5089
"144",787428.3525,1430856.555,3,9020,8305,8146,7138,18174,11003,7713,5081
"61",795304.3382,1449486.554,1,9230,8626,8560,9072,14764,14877,11124,5131
"116",778893.1735,1437645.243,2,12755,12542,13364,13658,15132,15338,13193,5305
"200",780527.263,1448744.754,4,9583,8908,8642,7814,11131,8252,7307,5315
"157",804361.8558,1431702.813,3,9471,9065,9100,9791,15933,17441,13140,5036
"59",777856.6789,1436232.859,1,10190,9661,9791,11770,13658,18557,16349,5223
"147",788226.8662,1429137.781,3,8910,8116,7521,6773,12808,10066,7593,5088
"39",780275.1663,1442822.918,1,9645,9078,8930,9777,13224,13889,11281,5204
"215",789786.1855,1431240.071,4,9055,8268,7585,6824,6408,5614,5465,5163
"141",779190.1739,1415210.939,3,8800,7995,7401,6640,14245,9915,7246,5086
"193",769452.2719,1454818.136,4,10086,9484,9294,9252,11798,10440,8552,5880
"15",759676.4355,1423025.551,1,9388,8796,8505,8885,13002,14633,11630,5143
"103",771263.4215,1440666.753,2,11853,11216,10269,9829,14103,14566,13458,5507
"180",791066.4238,1451973.602,3,9123,8418,8151,7535,15024,12011,8852,5192
"225",780421.7391,1443756.655,4,9490,8918,8690,7756,6578,6090,5764,5341
"102",772091.9774,1440007.747,2,11263,10853,10298,10377,13332,13023,11897,5523
"30",798205.8833,1423294.272,1,9363,8862,8917,9707,14335,16159,12983,5064
"12",764986.8708,1451311.617,1,9874,9285,9238,10110,15259,15559,12138,5691
"160",769109.0877,1456511.642,3,10292,9600,9274,8556,18120,12126,9103,6069
"27",800278.8725,1421093.32,1,9863,9536,9828,11110,15230,16898,13555,5041
"213",790239.8845,1431447.195,4,8818,7983,7137,6448,6132,5407,5303,5107
"34",810122.3722,1430751.275,1,8853,8215,8306,7379,18624,12264,8659,5047
"65",782604.0801,1429965.906,2,10501,10027,9711,9889,10903,11363,10832,5118
"18",765745.0474,1422686.451,1,9592,9005,8981,9733,14513,15999,12650,5235
"77",789485.2527,1440612.369,2,10872,10454,10483,10747,12536,11931,11013,5383
"28",798576.9739,1421054.931,1,9311,8777,8717,9530,13988,15598,12499,5048
"107",774283.3317,1442335.861,2,10728,10382,9626,9533,11762,12106,11907,5347
"120",784245.1966,1433172.961,2,10695,10470,11156,11652,15393,15359,12733,5174
"101",774225.7487,1443510.715,2,10428,9980,10164,10883,13453,13052,11774,5372
"138",779290.4357,1415621.535,3,8777,8001,7374,6733,13153,9874,7462,5102
"96",782588.0849,1425839.122,2,10671,10614,10258,10995,11424,11510,9804,5104
"91",774424.0903,1428462.349,2,10517,10129,10024,9977,13499,13122,11994,5221
"224",795971.0832,1441601.06,4,8737,7936,7217,6390,6035,5294,5222,5084
"169",773582.6742,1444427.707,3,9655,8907,8619,8056,15136,11830,9076,5577
"145",787304.2188,1433162.577,3,9867,9523,10201,10018,10928,9804,8400,5087
"67",785339.2742,1427086.754,2,10333,9930,9692,9933,11299,11185,10245,5106
"36",809751.2816,1428179.232,1,9005,8388,8724,8470,17969,13594,9916,5053
"140",778256.7842,1415559.468,3,8795,7988,7419,6597,13685,9816,7268,5117
"187",781473.1455,1451177.509,4,9208,8458,7823,7002,6859,6042,5794,5348
"117",796440.0036,1439827,2,10569,10505,10508,11190,12366,14653,12141,5089
"32",800969.8689,1422846.404,1,9455,8924,9015,9970,15322,15353,12505,5053
"203",781555.176,1450783.357,4,9322,8562,7959,7184,7164,6238,5993,5421
"168",763699.7245,1447311.428,3,9379,8687,8301,7607,7189,6450,6072,5419
