"","X","Y","Class","Ultra_Blue","Blue","Green","Red","NIR","SWNIR_1","SWNIR_2","Cirrus"
"87",789203.7356,1426248.601,2,13300,13497,15500,17910,23719,27882,21407,5089
"131",780629.647,1412656.65,3,10396,9546,9092,8552,14274,14585,10851,5101
"144",787428.3525,1430856.555,3,10167,9307,8878,7714,23722,11323,7846,5082
"61",795304.3382,1449486.554,1,11309,10787,11670,14159,18849,22634,17308,5169
"116",778893.1735,1437645.243,2,15750,16418,17667,19295,21139,21037,16149,5114
"200",780527.263,1448744.754,4,10794,10090,10073,8931,12196,8742,7418,5168
"157",804361.8558,1431702.813,3,10881,10155,10722,9075,20016,10909,7971,5106
"59",777856.6789,1436232.859,1,11117,10420,10536,13220,16048,22693,18901,5108
"147",788226.8662,1429137.781,3,10268,9360,8929,8106,14029,12758,9574,5082
"39",780275.1663,1442822.918,1,11313,10777,11665,13605,19895,22609,17695,5160
"215",789786.1855,1431240.071,4,10655,9850,9225,8120,7470,5731,5484,5103
"141",779190.1739,1415210.939,3,10300,9445,8853,8439,13969,13952,10383,5090
"193",769452.2719,1454818.136,4,10700,9890,9816,9389,15222,12899,9411,5192
"15",759676.4355,1423025.551,1,11373,10769,11107,12782,17690,21246,17160,5109
"103",771263.4215,1440666.753,2,14166,13134,11409,10107,17081,18632,18194,5122
"180",791066.4238,1451973.602,3,10660,9844,9888,9310,19445,15202,10730,5139
"225",780421.7391,1443756.655,4,10971,10267,10094,9042,7835,6780,6338,5177
"102",772091.9774,1440007.747,2,12595,12050,11001,10056,17356,15025,13868,5118
"30",798205.8833,1423294.272,1,10887,10277,10743,12350,18145,20315,15475,5126
"12",764986.8708,1451311.617,1,10760,10066,10421,12994,16944,22315,17111,5159
"160",769109.0877,1456511.642,3,10300,9449,9494,8058,23770,14174,9315,5203
"27",800278.8725,1421093.32,1,10989,10446,10876,13310,17998,21695,16855,5090
"213",790239.8845,1431447.195,4,10513,9597,8648,7689,7194,5718,5496,5098
"34",810122.3722,1430751.275,1,10879,10288,11114,13474,17470,21252,16670,5111
"65",782604.0801,1429965.906,2,12934,12713,12887,13716,15526,16184,15112,5086
"18",765745.0474,1422686.451,1,11219,10594,10985,12963,17440,23632,19237,5135
"77",789485.2527,1440612.369,2,12599,12344,12812,13610,16416,16308,14594,5155
"28",798576.9739,1421054.931,1,10864,10241,10807,13265,17405,21051,16992,5100
"107",774283.3317,1442335.861,2,13378,13379,11397,10933,16811,17705,15234,5146
"120",784245.1966,1433172.961,2,13925,14217,16656,17914,19299,18366,15201,5090
"101",774225.7487,1443510.715,2,12175,11798,12623,13845,16910,16770,14948,5164
"138",779290.4357,1415621.535,3,10103,9200,8772,7894,17922,12956,8970,5099
"96",782588.0848,1425839.122,2,13665,13599,13792,14349,16189,15759,13864,5096
"91",774424.0903,1428462.349,2,12760,12542,12331,12689,17214,16764,14340,5114
"224",795971.0832,1441601.06,4,10480,9606,8813,7834,7496,5939,5577,5110
"169",773582.6742,1444427.707,3,10532,9790,9623,8988,17512,14867,10732,5147
"145",787304.2188,1433162.577,3,10998,10440,10734,10036,13510,10802,8547,5120
"67",785339.2742,1427086.754,2,12795,12494,12927,13454,15845,15865,14183,5092
"36",809751.2816,1428179.232,1,10830,10229,10753,12344,18302,19862,14907,5147
"140",778256.7842,1415559.468,3,10285,9389,8754,8272,12737,13039,10126,5105
"187",781473.1455,1451177.509,4,10914,10126,9458,8718,8754,7632,6975,5158
"117",796440.0036,1439827,2,13261,13218,14605,16503,19038,19691,15295,5122
"32",800969.8689,1422846.404,1,11399,10883,11865,14533,18516,22095,18293,5082
"203",781555.176,1450783.357,4,10705,9846,8910,8197,8114,7141,6594,5148
"168",763699.7245,1447311.428,3,10710,9961,9625,8811,7901,7053,6500,5171
