"","X","Y","Class","Ultra_Blue","Blue","Green","Red","NIR","SWNIR_1","SWNIR_2","Cirrus"
"87",789203.7356,1426248.601,2,11699,11226,11861,12742,17741,21051,16612,5033
"131",780629.647,1412656.65,3,10442,9675,9021,9030,13229,14896,11187,5048
"144",787428.3525,1430856.555,3,10713,9850,9398,8182,23614,12240,8057,5054
"61",795304.3382,1449486.554,1,10973,10295,10126,11031,15989,18809,13907,5061
"116",778893.1735,1437645.243,2,13380,13664,14058,15973,18262,19624,15020,5048
"200",780527.263,1448744.754,4,10909,10169,9807,8974,13976,9832,7659,5055
"157",804361.8558,1431702.813,3,10739,9994,9873,9229,13572,8273,6717,5066
"59",777856.6789,1436232.859,1,11365,10643,10457,12509,14953,21897,18399,5051
"147",788226.8662,1429137.781,3,10674,9800,8896,8535,10941,12062,9801,5030
"39",780275.1663,1442822.918,1,11163,10502,10608,11950,15567,19135,15782,5059
"215",789786.1855,1431240.071,4,11062,10239,9711,8566,8364,5826,5496,5043
"141",779190.1739,1415210.939,3,10277,9405,8743,8196,14024,12450,9117,5061
"193",769452.2719,1454818.136,4,10930,10322,10383,10906,15810,16811,12994,5038
"15",759676.4355,1423025.551,1,10977,10303,10069,11143,14719,18594,15209,5060
"103",771263.4215,1440666.753,2,12778,12692,10788,9987,14620,18337,17075,5071
"180",791066.4238,1451973.602,3,10876,10099,9749,9644,16111,15668,10937,5071
"225",780421.7391,1443756.655,4,10871,10075,9497,8545,7347,5892,5536,5058
"102",772091.9774,1440007.747,2,12356,11849,11328,10729,15251,14540,13274,5056
"30",798205.8833,1423294.272,1,11003,10463,10510,12088,16944,20787,16115,5043
"12",764986.8708,1451311.617,1,10938,10226,10140,12003,16458,21126,16120,5062
"160",769109.0877,1456511.642,3,10498,9680,9523,8269,21756,14353,9373,5051
"27",800278.8725,1421093.32,1,11220,10631,10839,12525,17338,20243,16627,5054
"213",790239.8845,1431447.195,4,10708,9821,9382,8153,23157,11878,7824,5069
"34",810122.3722,1430751.275,1,10870,10186,10028,10799,16419,19939,15331,5073
"65",782604.0801,1429965.906,2,12233,11785,11614,11980,13575,14449,13510,5056
"18",765745.0474,1422686.451,1,10923,10278,10141,11288,15746,20304,15922,5058
"77",789485.2527,1440612.369,2,12088,11553,11613,11912,14562,14482,13105,5064
"28",798576.9739,1421054.931,1,10999,10464,10516,12213,16631,20196,15687,5061
"107",774283.3317,1442335.861,2,12340,11952,10748,10522,14816,15941,14053,5072
"120",784245.1966,1433172.961,2,11875,11587,11871,12808,17724,17766,13746,5059
"101",774225.7487,1443510.715,2,11680,11194,11325,12179,15251,15359,13620,5069
"138",779290.4357,1415621.535,3,10211,9335,8781,8118,17145,12370,8678,5036
"96",782588.0848,1425839.122,2,12673,12339,12396,12815,15262,14584,12924,5057
"91",774424.0903,1428462.349,2,12116,11602,11415,11902,13802,15081,14359,5048
"224",795971.0832,1441601.06,4,10722,9821,9318,8099,23029,11381,7497,5044
"169",773582.6742,1444427.707,3,10864,10039,9494,9414,13595,14200,11436,5065
"145",787304.2188,1433162.577,3,11308,10660,10771,10203,12923,10831,8183,5034
"67",785339.2742,1427086.754,2,12288,11883,11730,12121,14380,14227,12536,5062
"36",809751.2816,1428179.232,1,10930,10387,10656,12208,17618,22422,18099,5043
"140",778256.7842,1415559.468,3,10331,9475,8771,8383,12821,12063,9140,5049
"187",781473.1455,1451177.509,4,10645,9786,9114,8079,7423,5881,5528,5062
"117",796440.0036,1439827,2,12446,12220,12800,14217,16671,18367,15349,5048
"32",800969.8689,1422846.404,1,10975,10344,10551,12232,15533,18686,15240,5065
"203",781555.176,1450783.357,4,10650,9792,9073,8114,7454,5904,5551,5057
"168",763699.7245,1447311.428,3,10668,9799,9161,8391,7487,6090,5672,5055
