X,Y,Class,2016-03-_1,2016-03-_2,2016-03-_3,2016-03-_4,2016-03-_5,2016-03-_6,2016-03-_7,2016-03-_8
767854.8258,1441894.391,1,10899,10235,10041,10886,15559,20106,15619,5049
763393.7402,1440594.774,1,11199,10664,10955,12636,17616,22616,17487,5038
763380.944,1442667.763,1,10898,10238,9957,11098,15410,18971,14724,5060
766580.0014,1439558.28,1,10959,10328,10388,11774,16443,20272,15962,5041
760341.8394,1437530.077,1,11347,10905,11492,13915,17729,22971,19693,5077
757577.8538,1437146.19,1,10926,10226,9749,10207,13462,15764,13430,5052
759055.8183,1451356.403,1,11238,10673,10765,12569,16739,20490,16223,5049
759650.843,1451554.745,1,11230,10677,11017,13174,18301,23327,18832,5047
760578.5697,1451234.839,1,11062,10450,10405,11792,16634,21014,16222,5049
757417.9009,1450217.539,1,11458,10901,11126,13463,17032,22335,17591,5054
767738.0602,1451260.432,1,10861,10188,9689,10389,13516,18049,15150,5056
764986.8708,1451311.617,1,10938,10226,10140,12003,16458,21126,16120,5062
771986.4085,1451951.428,1,11106,10505,10470,11978,16690,21307,16300,5068
791667.0099,1413940.228,1,11051,10480,10330,11090,15527,18267,14356,5070
759676.4355,1423025.551,1,10977,10303,10069,11143,14719,18594,15209,5060
763748.8356,1421880.288,1,11102,10509,10595,12012,16336,21935,16985,5045
763281.7732,1420946.163,1,11076,10523,10424,11953,16031,19958,15541,5056
765745.0474,1422686.451,1,10923,10278,10141,11288,15746,20304,15922,5058
776909.7579,1416953.74,1,11088,10547,10516,11782,17306,21172,15735,5062
776986.5353,1415699.709,1,11035,10499,10655,12230,17352,21832,17112,5054
776141.9841,1413268.426,1,10869,10301,10316,11565,16293,19633,14876,5070
767670.88,1415392.6,1,11121,10547,10773,12495,17636,20788,15513,5060
769692.6843,1423403.04,1,10770,10041,9591,10411,14229,16907,13415,5059
775396.6037,1412068.779,1,10980,10417,10470,12062,16721,20959,16775,5045
769657.4947,1417580.755,1,10932,10368,10158,11617,16203,19554,15449,5059
803247.5978,1427081.956,1,11143,10634,10925,12534,17391,21882,16605,5061
800278.8725,1421093.32,1,11220,10631,10839,12525,17338,20243,16627,5054
