X,Y,Class,2016-01-_1,2016-01-_2,2016-01-_3,2016-01-_4,2016-01-_5,2016-01-_6,2016-01-_7,2016-01-_8
778646.8461,1453619.737,2,11969,12063,11259,12145,15357,17682,16225,5185
776573.8569,1447720.675,2,10742,10197,10106,10439,13757,14859,12462,5220
785300.8856,1425416.846,2,11465,10999,10879,10910,13384,12554,10784,5229
788103.2599,1423497.412,2,11069,10655,10797,11481,14324,14809,13328,5177
789203.7356,1426248.601,2,11004,10581,11027,11824,16669,17959,13636,5179
785876.7159,1428014.481,2,11632,11172,10834,10995,12063,12113,11238,5230
789472.4565,1428398.368,2,11271,10945,12021,13786,17620,20932,17159,5167
790752.0794,1428347.183,2,11083,10491,10383,10553,11670,11206,10434,5162
774424.0903,1428462.349,2,11208,10650,10500,10480,13254,13196,11984,5299
776445.8946,1426862.82,2,11285,10729,10379,10527,12794,13349,12115,5305
780828.6033,1429540.431,2,10996,10432,9900,9883,10812,10666,10064,5174
778723.6235,1431063.183,2,11335,10804,10313,10334,11229,11353,10516,5206
784936.193,1428206.424,2,11005,10482,9918,9964,10980,10978,10116,5233
782588.0849,1425839.122,2,11596,11033,10760,10850,12848,11785,10401,5239
782959.1755,1430855.244,2,11218,10679,10296,10442,11316,11449,10638,5206
778007.0346,1420835.796,2,11301,10759,10670,10706,13974,14701,12944,5194
795640.2392,1435289.137,2,11776,11535,11707,12333,13988,13418,12162,5162
771768.8726,1444425.646,2,11162,10634,10220,10298,12137,11722,10532,5187
774225.7487,1443510.715,2,11716,11183,10752,10928,13196,12639,11423,5199
772091.9774,1440007.747,2,11527,11024,10663,10629,12752,12856,11814,5209
771263.4215,1440666.753,2,11313,10858,10027,9585,11987,13801,13916,5207
773768.2835,1440932.275,2,11413,11067,10301,10178,13224,14619,13869,5217
772850.154,1441328.958,2,11267,10721,9971,9769,12727,12753,11416,5221
772760.5804,1440743.53,2,11429,10874,10220,10221,12491,12654,11771,5223
774283.3317,1442335.861,2,11153,10653,9882,9732,11444,11813,10907,5151
773362.0032,1442499.013,2,11047,10431,9550,9020,12598,12627,11525,5153
776002.0253,1432857.054,2,11590,10937,9800,9315,12051,13256,12770,5258
776211.5636,1433334.513,2,11655,11089,10569,10370,13125,12087,11490,5215
773952.2293,1431538.243,2,10949,10268,9570,9128,11407,12549,12251,5239
781578.7822,1433534.454,2,11485,10956,10034,9843,11443,11967,12199,5248
781842.7045,1433403.293,2,10949,10428,9516,9188,13137,12353,10096,5226
780374.3371,1434209.456,2,11298,10758,9907,9664,11418,11370,10241,5277
778035.8261,1438160.292,2,11471,10974,10116,9947,11953,13062,11902,5262
778893.1735,1437645.243,2,11807,11565,11281,12006,13578,14900,12138,5240
796440.0036,1439827,2,11233,10933,11059,11742,13527,15337,12757,5115
787284.3012,1450761.379,2,11866,11514,11671,10834,10990,9919,9632,5171
788359.1845,1450831.758,2,11157,10748,10436,10254,10774,10306,9560,5168
784245.1966,1433172.961,2,11290,10861,10809,11309,14303,14691,12161,5226
790040.2892,1418367.723,2,11046,10478,9794,9585,11599,11244,10617,5206
791804.5693,1418027.024,2,10523,10009,9069,8520,12900,11053,9049,5183
782844.0094,1420004.041,2,12835,12849,11188,10699,15676,17120,15226,5291
781158.3061,1452120.178,2,11708,11090,9512,9336,13248,13678,12430,5170
782159.811,1452471.875,2,10766,10224,10230,10668,14752,16194,12832,5216
763864.4403,1413927.826,3,10276,9481,8938,7958,16760,9507,7084,5245
763270.031,1413834.726,3,10369,9578,8796,7898,10456,6927,6092,5237
778882.2269,1413506.488,3,10034,9233,8483,7812,14176,11106,8039,5276
778743.7701,1412298.572,3,10036,9202,8366,7631,13127,9615,7272,5258
779211.6585,1412494.321,3,9992,9134,8361,7575,14167,10178,7406,5284
780629.647,1412656.65,3,9943,9129,8438,7678,14623,11026,7870,5252
780462.544,1413420.549,3,9920,9092,8300,7600,13571,10220,7460,5188
781250.3153,1412494.321,3,9829,9001,8278,7509,14041,10307,7556,5209
780768.1038,1414680.984,3,9899,9067,8332,7632,13649,10495,7720,5223
778018.0656,1411147.948,3,9847,9012,8123,7402,12383,9261,7057,5241
777929.7397,1412207.859,3,10041,9208,8357,7663,13640,10125,7531,5242
776795.8264,1414843.312,3,10208,9421,8883,8146,8312,6601,5962,5342
779290.4357,1415621.535,3,9980,9154,8394,7722,13083,10144,7623,5245
779137.6558,1415664.504,3,10061,9277,8650,8110,14209,12244,8943,5250
778256.7842,1415559.468,3,9989,9186,8419,7688,13282,10177,7574,5271
779190.1739,1415210.939,3,9977,9147,8363,7618,13758,10176,7558,5214
