X,Y,Class,Ultra_Blue,Blue,Green,Red,NIR,SWNIR_1,SWNIR_2,Cirrus
781473.1455,1451177.509,4,10914,10126,9458,8718,8754,7632,6975,5158
796307.8494,1441038.193,4,11620,11045,10541,9802,9917,8512,7717,5118
774882.5901,1420521.389,4,10320,9514,9357,7876,7730,6067,5744,5121
769952.4328,1411304.139,4,10556,9615,8573,8115,8676,7450,6675,5103
757591.3137,1417663.327,4,11050,10239,9839,8987,7542,6198,5770,5119
764093.4052,1431382.026,4,11412,10819,11055,10628,9661,8915,7668,5141
769452.2719,1454818.136,4,10700,9890,9816,9389,15222,12899,9411,5192
769809.5297,1454889.588,4,10361,9430,8587,7853,7532,6486,6010,5226
771881.6248,1447672.98,4,10712,9821,9066,8245,8620,7217,6506,5134
768809.2079,1444171.854,4,10997,10351,10062,8820,10063,7393,6803,5185
782885.1643,1448673.302,4,10455,9791,9306,8035,8325,6501,6028,5160
780813.0692,1443671.693,4,10541,9753,9261,8271,7023,6177,5880,5171
782956.6159,1443671.693,4,11217,10510,9925,9218,8986,7892,7264,5161
780527.263,1448744.754,4,10794,10090,10073,8931,12196,8742,7418,5168
780170.0052,1432668.154,4,10372,9491,9138,7848,7409,6057,5719,5117
769586.8266,1454478.674,4,10508,9651,8892,8053,8406,6332,5916,5200
781555.176,1450783.357,4,10705,9846,8910,8197,8114,7141,6594,5148
783264.9754,1447980.216,4,11023,10404,10040,8918,9137,7525,6874,5155
783741.8582,1451399.815,4,10724,9819,9325,8309,8485,7081,6492,5174
785021.2999,1451318.396,4,10962,10214,10678,8940,9340,7065,6493,5152
783939.5901,1450620.519,4,10746,10019,9836,8819,8311,7176,6453,5178
784893.3557,1450434.418,4,10860,10076,10098,9252,8411,7121,6739,5172
785067.825,1448899.088,4,10804,10040,9425,8372,8419,7077,6380,5162
790149.1935,1431855.776,4,10616,9805,9396,8155,7549,5742,5481,5098
784170.5939,1436376.181,4,10785,9945,9132,8350,8213,6932,6470,5123
795722.7389,1441204.426,4,10588,9707,8960,7893,8015,6321,5820,5107
790239.8845,1431447.195,4,10513,9597,8648,7689,7194,5718,5496,5098
789638.2401,1431723.359,4,10687,9843,9429,8150,7786,5800,5491,5110
789786.1855,1431240.071,4,10655,9850,9225,8120,7470,5731,5484,5103
784016.317,1428794.042,4,11220,10427,9701,8990,8855,7457,6966,5108
784193.8515,1428379.795,4,10428,9507,8609,7696,7335,6113,5800,5095
785466.1814,1424917.874,4,10355,9423,8764,7869,6849,5923,5647,5077
782694.672,1424395.133,4,10193,9183,7999,7223,7032,6062,5743,5100
782773.5762,1424237.325,4,10164,9162,7993,7222,6991,6074,5784,5084
785604.2637,1424740.339,4,10521,9700,9008,8142,7073,6086,5738,5092
790644.2685,1424335.955,4,10558,9627,8598,7964,7623,6718,6242,5110
784200.0844,1436660.147,4,10982,10107,9309,8550,8427,7052,6503,5126
795971.0832,1441601.06,4,10480,9606,8813,7834,7496,5939,5577,5110
780421.7391,1443756.655,4,10971,10267,10094,9042,7835,6780,6338,5177
782528.8932,1443635.554,4,10390,9469,9053,7855,23366,11674,7946,5142
783376.5989,1445573.167,4,10739,9968,9264,8470,8353,7184,6622,5130
763641.094,1447235.854,4,10568,9863,9381,8646,7912,7021,6458,5142
