"","X","Y","Class","Ultra_Blue","Blue","Green","Red","NIR","SWNIR_1","SWNIR_2","Cirrus"
"29",799664.6535,1424317.97,1,9294,8727,8802,9243,15336,14888,11695,5057
"31",798359.438,1422692.849,1,8961,8333,8002,8052,13415,12913,9467,5063
"33",794891.6598,1425021.763,1,9185,8600,8649,8989,15319,14942,11291,5066
"35",812195.3615,1431723.788,1,9021,8386,8200,8550,14286,13273,10303,5055
"37",804831.1312,1436669.531,1,9364,8871,9014,9561,14715,16348,12759,5057
"38",774339.3152,1440014.145,1,11199,10906,11066,11658,13643,14075,12856,5427
"40",779046.7283,1447122.451,1,9692,9091,8815,8922,14584,13297,10254,5353
"41",775866.8652,1446943.304,1,10400,9963,10785,14015,16885,21740,16643,5393
"42",791139.1654,1455107.298,1,9526,8958,8957,9781,14924,16156,12613,5244
"43",794306.2323,1455286.446,1,9364,8743,8488,8504,14455,13620,10201,5334
"44",800985.8642,1427403.461,1,9060,8411,8252,8404,14648,13815,10468,5045
"45",797019.033,1427646.589,1,9389,8865,9297,11518,15260,18934,15709,5063
"46",795205.1674,1452656.82,1,9683,9308,9506,10349,16102,17958,13975,5149
"47",804428.05,1442829.316,1,9351,8854,9267,10696,15788,17140,12915,5060
"48",780319.9531,1455395.214,1,9329,8699,8600,8949,14344,13611,10662,5200
"49",787153.1398,1455548.768,1,10305,9623,9390,9935,14180,14871,11624,5784
"50",786660.485,1453888.457,1,9925,9374,9656,10255,16506,16604,12375,5390
"51",786378.9679,1453299.831,1,10133,9552,9895,10699,13309,14110,11387,5487
"52",764730.9462,1432982.617,1,9801,9203,9105,9511,15380,15028,11529,5393
"53",766656.7788,1433712.002,1,10293,9967,10264,12060,15696,19492,15476,5329
"54",766272.8919,1431997.307,1,9659,9032,8932,9009,14341,13252,10583,5399
"55",765172.4162,1429809.152,1,9664,9097,9230,10367,14471,16350,12978,5301
"56",795534.6703,1430231.428,1,9029,8368,8410,7889,16258,12199,8940,5062
"57",795137.9872,1430384.982,1,9299,8752,8827,9304,15421,15630,11880,5087
"58",794133.4831,1430701.689,1,9145,8486,8383,8886,14949,14469,10998,5075
"60",782280.9753,1436757.505,1,10157,9805,11040,13639,17073,19065,17386,5179
"62",792425.1865,1449153.852,1,9567,9046,9179,9801,15883,14858,11373,5194
"63",798145.1012,1450267.124,1,9404,8920,8877,9395,14433,15906,12459,5084
"64",776628.2408,1429210.928,2,10597,10526,9696,10342,10784,10802,9850,5132
"66",780850.9967,1427406.66,2,10711,10328,10084,10253,11693,11562,10626,5111
"68",786983.5898,1432921.835,2,10402,10117,10107,10320,11794,11272,10611,5092
"69",790656.1077,1431597.425,2,11063,11029,12619,14218,17507,18669,14445,5169
"70",790444.9699,1430720.883,2,10503,10056,10180,10494,11197,11137,10532,5099
"71",791347.1041,1429812.351,2,10722,10347,9434,9307,10554,10185,9213,5166
"72",791775.7778,1435295.536,2,10478,10126,10058,10463,12436,11828,11052,5104
"73",791353.5022,1440573.98,2,10256,9784,9887,10202,12449,13142,11894,5171
"74",793592.8424,1439319.95,2,10305,9846,9838,10059,12415,11656,10431,5078
"75",793503.2688,1438321.844,2,10299,9895,9684,9985,11476,12027,11176,5063
"76",786260.6028,1439652.652,2,10978,10651,10663,10973,12412,12979,12395,5143
"78",782971.9717,1439780.614,2,10756,10364,10495,10802,11825,13116,12353,5164
