"","X","Y","Class","Ultra_Blue","Blue","Green","Red","NIR","SWNIR_1","SWNIR_2","Cirrus"
"1",767854.8258,1441894.391,1,10367,9717,9254,9423,13365,15195,11692,5145
"2",763393.7402,1440594.774,1,10448,9862,9622,10289,14905,17071,13227,5207
"3",763380.944,1442667.763,1,10249,9585,9019,9309,13821,14459,10491,5221
"4",766580.0014,1439558.28,1,10501,9895,9550,10083,14546,16299,12306,5219
"5",760341.8394,1437530.077,1,10770,10293,10619,12269,15833,19594,16849,5178
"6",757577.8538,1437146.19,1,10190,9549,8956,9077,13736,13601,10432,5173
"7",759055.8183,1451356.403,1,10603,10057,9975,11044,14939,17092,13767,5142
"8",759650.843,1451554.745,1,10461,9935,9966,11315,15227,18307,15104,5119
"9",760578.5697,1451234.839,1,10194,9540,9078,9551,13819,15371,11946,5141
"10",757417.9009,1450217.539,1,10814,10265,10299,11744,14745,18346,14890,5123
"11",767738.0602,1451260.432,1,10590,9957,9395,9605,13761,15492,11951,5125
"13",771986.4085,1451951.428,1,10446,9803,9200,9521,13352,15744,12279,5113
"14",791667.0099,1413940.228,1,10284,9685,9391,9442,14037,13797,11061,5183
"16",763748.8356,1421880.288,1,10466,9871,9555,10164,14651,17420,13276,5250
"17",763281.7732,1420946.163,1,10380,9746,9294,9661,14331,15625,11663,5219
"19",776909.7579,1416953.74,1,10501,9831,9310,9512,14590,15442,11447,5271
"20",776986.5353,1415699.709,1,10486,9818,9431,9736,14858,15739,12102,5268
"21",776141.9841,1413268.426,1,10453,9810,9526,9979,14445,15659,12173,5273
"22",767670.88,1415392.6,1,10396,9719,9276,9437,14829,14151,10574,5273
"23",769692.6843,1423403.04,1,10359,9624,9090,9214,14189,14037,10589,5294
"24",775396.6037,1412068.779,1,10460,9772,9421,9726,15050,15241,11928,5249
"25",769657.4947,1417580.755,1,10384,9698,9244,9676,14366,15693,12184,5322
"26",803247.5978,1427081.956,1,10280,9705,9637,10489,15069,17420,13163,5138
"29",799664.6535,1424317.97,1,10212,9637,9443,10118,14787,15777,12186,5161
"31",798359.438,1422692.849,1,9982,9292,8730,8798,13514,13441,9893,5136
"33",794891.6598,1425021.763,1,10107,9500,9271,9543,15122,15505,11851,5149
"35",812195.3615,1431723.788,1,9942,9263,8892,9222,14495,13437,10337,5134
"37",804831.1312,1436669.531,1,10288,9713,9469,10007,14770,16570,12824,5154
"38",774339.3152,1440014.145,1,11516,11099,10754,11227,13187,13708,12513,5248
"40",779046.7283,1447122.451,1,10424,9804,9429,9842,14354,15182,11913,5179
"41",775866.8652,1446943.304,1,10664,10090,10526,13060,16056,21525,16680,5178
