"","X","Y","Class","Ultra_Blue","Blue","Green","Red","NIR","SWNIR_1","SWNIR_2","Cirrus"
"42",791139.1654,1455107.298,1,10297,9637,9448,9928,14143,15610,12494,5124
"43",794306.2323,1455286.446,1,10154,9471,9078,9190,14080,13324,9995,5111
"44",800985.8642,1427403.461,1,10000,9330,8950,9215,14445,14284,10783,5139
"45",797019.033,1427646.589,1,10235,9660,9709,11311,15200,18507,15131,5209
"46",795205.1674,1452656.82,1,10315,9859,9767,10844,15619,18411,14047,5138
"47",804428.05,1442829.316,1,10182,9593,9495,10628,15191,17299,12852,5119
"48",780319.9531,1455395.214,1,10366,9697,9253,9456,13842,13553,10343,5191
"49",787153.1398,1455548.768,1,10160,9504,9031,9641,13143,15125,11492,5142
"50",786660.485,1453888.457,1,10586,10013,9976,10623,15570,17125,12837,5181
"51",786378.9679,1453299.831,1,10577,10062,10046,10931,14478,15192,11953,5172
"52",764730.9462,1432982.617,1,10456,9887,9870,11155,14138,18672,14487,5153
"53",766656.7788,1433712.002,1,10655,10100,10640,12397,16075,21024,16683,5173
"54",766272.8919,1431997.307,1,10244,9512,9098,9458,14171,13655,10626,5183
"55",765172.4162,1429809.152,1,10414,9768,9578,10456,14338,16949,13322,5225
"56",795534.6703,1430231.428,1,10187,9541,9281,9231,15031,13734,10280,5178
"57",795137.9872,1430384.982,1,10293,9708,9485,10072,14978,16133,12160,5183
"58",794133.4831,1430701.689,1,10153,9468,9073,9426,14636,14172,11122,5161
"60",782280.9753,1436757.505,1,10871,10371,10738,12604,15531,18500,16327,5224
"62",792425.1865,1449153.852,1,10361,9811,9781,10884,15128,17037,13486,5108
"63",798145.1012,1450267.124,1,10238,9702,9498,10045,14711,17069,13448,5123
"64",776628.2408,1429210.928,2,11415,10885,10436,10392,11638,11361,10539,5243
"66",780850.9967,1427406.66,2,11384,10901,10439,10566,12071,11779,10757,5255
"68",786983.5898,1432921.835,2,11133,10762,10067,10129,12177,11297,10649,5217
"69",790656.1077,1431597.425,2,11549,11200,11825,12795,16365,17242,13811,5196
"70",790444.9699,1430720.883,2,11114,10612,10368,10444,11490,11338,10347,5208
"71",791347.1041,1429812.351,2,11514,10992,10388,10429,11872,10505,9238,5179
"72",791775.7778,1435295.536,2,11025,10536,10171,10322,12356,12268,11175,5147
"73",791353.5022,1440573.98,2,11020,10508,10257,10474,12550,13142,11647,5137
"74",793592.8424,1439319.95,2,11008,10544,10158,10341,12007,11765,10823,5153
"75",793503.2688,1438321.844,2,10953,10442,10174,10333,11853,12087,11017,5129
"76",786260.6028,1439652.652,2,11473,11027,10782,11048,12413,12905,12157,5182
"78",782971.9717,1439780.614,2,11386,10943,10687,11104,12546,13191,12155,5216
"79",784098.04,1442058.343,2,11438,10973,10756,11089,12491,12670,11697,5203
"80",781692.3488,1441776.826,2,11211,10625,10291,10333,12100,12045,11095,5184
"81",795601.8505,1448027.784,2,11353,10986,11096,11966,14989,16662,12720,5112
"82",798020.3379,1446159.535,2,11156,10802,10880,11286,14771,13340,11404,5126
"83",778646.8461,1453619.737,2,11969,12063,11259,12145,15357,17682,16225,5185
"84",776573.8569,1447720.675,2,10742,10197,10106,10439,13757,14859,12462,5220
"85",785300.8856,1425416.846,2,11465,10999,10879,10910,13384,12554,10784,5229
"86",788103.2599,1423497.412,2,11069,10655,10797,11481,14324,14809,13328,5177
"88",785876.7159,1428014.481,2,11632,11172,10834,10995,12063,12113,11238,5230
"89",789472.4565,1428398.368,2,11271,10945,12021,13786,17620,20932,17159,5167
"90",790752.0794,1428347.183,2,11083,10491,10383,10553,11670,11206,10434,5162
"92",776445.8946,1426862.82,2,11285,10729,10379,10527,12794,13349,12115,5305
"93",780828.6033,1429540.431,2,10996,10432,9900,9883,10812,10666,10064,5174
"94",778723.6235,1431063.183,2,11335,10804,10313,10334,11229,11353,10516,5206
"95",784936.193,1428206.424,2,11005,10482,9918,9964,10980,10978,10116,5233
"97",782959.1755,1430855.244,2,11218,10679,10296,10442,11316,11449,10638,5206
"98",778007.0346,1420835.796,2,11301,10759,10670,10706,13974,14701,12944,5194
"99",795640.2392,1435289.137,2,11776,11535,11707,12333,13988,13418,12162,5162
"100",771768.8726,1444425.646,2,11162,10634,10220,10298,12137,11722,10532,5187
"104",773768.2835,1440932.275,2,11413,11067,10301,10178,13224,14619,13869,5217
"105",772850.154,1441328.958,2,11267,10721,9971,9769,12727,12753,11416,5221
"106",772760.5804,1440743.53,2,11429,10874,10220,10221,12491,12654,11771,5223
"108",773362.0032,1442499.013,2,11047,10431,9550,9020,12598,12627,11525,5153
"109",776002.0253,1432857.054,2,11590,10937,9800,9315,12051,13256,12770,5258
"110",776211.5636,1433334.513,2,11655,11089,10569,10370,13125,12087,11490,5215
"111",773952.2293,1431538.243,2,10949,10268,9570,9128,11407,12549,12251,5239
"112",781578.7822,1433534.454,2,11485,10956,10034,9843,11443,11967,12199,5248
"113",781842.7045,1433403.293,2,10949,10428,9516,9188,13137,12353,10096,5226
"114",780374.3371,1434209.456,2,11298,10758,9907,9664,11418,11370,10241,5277
"115",778035.8261,1438160.292,2,11471,10974,10116,9947,11953,13062,11902,5262
"118",787284.3012,1450761.379,2,11866,11514,11671,10834,10990,9919,9632,5171
"119",788359.1845,1450831.758,2,11157,10748,10436,10254,10774,10306,9560,5168
"121",790040.2892,1418367.723,2,11046,10478,9794,9585,11599,11244,10617,5206
"122",791804.5693,1418027.024,2,10523,10009,9069,8520,12900,11053,9049,5183
"123",782844.0094,1420004.041,2,12835,12849,11188,10699,15676,17120,15226,5291
"124",781158.3061,1452120.178,2,11708,11090,9512,9336,13248,13678,12430,5170
"125",782159.811,1452471.875,2,10766,10224,10230,10668,14752,16194,12832,5216
"126",763864.4403,1413927.826,3,10276,9481,8938,7958,16760,9507,7084,5245
"127",763270.031,1413834.726,3,10369,9578,8796,7898,10456,6927,6092,5237
"128",778882.2269,1413506.488,3,10034,9233,8483,7812,14176,11106,8039,5276
"129",778743.7701,1412298.572,3,10036,9202,8366,7631,13127,9615,7272,5258
"130",779211.6585,1412494.321,3,9992,9134,8361,7575,14167,10178,7406,5284
"132",780462.544,1413420.549,3,9920,9092,8300,7600,13571,10220,7460,5188
"133",781250.3153,1412494.321,3,9829,9001,8278,7509,14041,10307,7556,5209
"134",780768.1038,1414680.984,3,9899,9067,8332,7632,13649,10495,7720,5223
"135",778018.0656,1411147.948,3,9847,9012,8123,7402,12383,9261,7057,5241
"136",777929.7397,1412207.859,3,10041,9208,8357,7663,13640,10125,7531,5242
"137",776795.8264,1414843.312,3,10208,9421,8883,8146,8312,6601,5962,5342
"139",779137.6558,1415664.504,3,10061,9277,8650,8110,14209,12244,8943,5250
"142",788564.653,1431467.675,3,10186,9399,9111,8123,20743,10935,7658,5179
"143",789242.6138,1431945.112,3,10300,9530,9031,8071,18976,10119,7241,5269
"146",786505.7051,1429553.152,3,10174,9395,8836,7979,16613,9604,7299,5197
"148",788207.7687,1428650.795,3,10147,9356,8640,8048,12816,10587,7996,5166
"149",795727.4043,1432514.456,3,10126,9415,9002,8315,17144,11606,8306,5205
"150",795701.1453,1433326.099,3,10102,9374,8730,8194,14863,10308,7561,5165
"151",799864.3975,1434233.23,3,9911,9133,8870,7779,19821,10212,7224,5152
"152",799157.7905,1433593.464,3,9923,9181,8837,8076,18514,11699,8249,5149
"153",801621.3663,1435245.397,3,9937,9213,8914,8147,19743,11535,8198,5117
"154",803340.1402,1432829.564,3,10007,9319,8890,8626,14512,12702,9880,5109
"155",804791.5492,1432447.615,3,9999,9313,8865,8711,14326,13403,9814,5113
"156",805708.2286,1429544.797,3,10060,9388,9074,9027,13551,13123,10393,5141
"158",769970.8619,1456280.085,3,10337,9580,8822,8397,12756,12114,9048,5143
"159",769421.8091,1453997.936,3,10145,9335,8564,7824,14046,9104,6939,5105
"161",807805.3714,1424346.699,3,9931,9150,8551,8338,14853,11190,8175,5125
"162",809638.7302,1421825.831,3,10196,9533,9168,8953,15822,13802,10702,5111
"163",760171.4637,1450099.661,3,10036,9243,8607,8090,14210,10102,7679,5125
"164",756538.1667,1453145.71,3,10464,9888,9847,9339,8087,6194,5702,5112
"165",758934.9014,1440550.917,3,10201,9500,8978,8757,15171,13483,9736,5185
"166",758075.5144,1442155.106,3,10041,9283,8715,8256,14436,10810,8219,5153
"167",756490.423,1444838.303,3,10064,9325,8859,9402,11613,12794,10750,5156
"170",764110.3204,1425244.281,3,10189,9449,8815,8444,13657,11485,8548,5254
"171",761971.4019,1425301.574,1,10483,9912,9733,10556,14911,18237,14591,5205
"172",804711.5785,1446843.539,1,10754,10333,10724,11868,14324,16511,13555,5079
"173",799727.1343,1448170.815,3,10061,9379,8923,8736,13287,13166,9770,5099
"174",808110.9312,1441381.658,1,10366,9848,9956,9768,11005,8804,7203,5087
"175",806096.1463,1442011.875,1,10182,9570,9600,10599,14825,17401,13408,5077
"176",811598.6099,1430188.143,3,9808,9057,8466,8214,13694,11743,8691,5112
"177",758407.3333,1427567.013,3,10114,9400,8725,8309,13498,10329,7981,5153
"178",759028.0016,1431980.92,1,10692,10236,10399,12155,16345,20557,16772,5163
"179",792116.7856,1450868.335,3,9916,9148,8597,7914,14945,8943,6732,5141
"181",790560.3404,1443809.426,1,10309,9571,9272,9212,13485,9733,7558,5185
"182",788641.0429,1445461.359,1,11193,10633,10464,10884,12523,12246,10327,5238
"183",791687.0921,1441450.886,2,10804,10260,10155,10434,13818,13600,11278,5124
"184",786435.2831,1448774.773,2,11363,11010,11851,14413,17677,22404,15986,5205
"185",783038.2748,1448183.349,4,10240,9559,9008,8205,11274,8126,6735,5218
"186",781200.9491,1450973.362,4,10122,9375,8639,7784,7398,6012,5620,5173
"188",796307.8494,1441038.193,4,9939,9209,8503,7659,7359,5734,5429,5083
"189",774882.5901,1420521.389,4,9991,9136,8127,7469,7384,6123,5704,5229
"190",769952.4328,1411304.139,4,10690,10100,9864,10142,14599,15447,12213,5339
"191",757591.3137,1417663.327,4,10050,9206,8240,7520,7379,6124,5692,5223
"192",764093.4052,1431382.026,4,10326,9698,9332,8443,7797,6418,5885,5257
"194",769809.5297,1454889.588,4,10193,9428,8728,8161,7715,5967,5523,5109
"195",771881.6248,1447672.98,4,10330,9579,8770,8026,8228,6185,5707,5152
"196",768809.2079,1444171.854,4,10337,9602,8990,8193,8379,6195,5733,5146
"197",782885.1643,1448673.302,4,10376,9701,9172,8280,9355,6444,5888,5194
"198",780813.0692,1443671.693,4,10473,9814,9293,8423,7709,6192,5749,5203
"199",782956.6159,1443671.693,4,10646,10045,9637,8975,7913,6309,5881,5243
"201",780170.0052,1432668.154,4,10513,9782,9163,8320,8033,6400,5907,5241
"202",769586.8266,1454478.674,4,10043,9251,8515,7935,7548,5877,5492,5126
"204",783264.9754,1447980.216,4,10215,9526,8976,8065,8832,6249,5804,5210
"205",783741.8582,1451399.815,4,10610,9855,9157,8461,8461,6620,6024,5217
"206",785021.2999,1451318.396,4,10127,9328,8398,7778,7791,6298,5840,5163
"207",783939.5901,1450620.519,4,10347,9599,8902,8310,9335,7214,6388,5233
"208",784893.3557,1450434.418,4,10852,10218,9717,9271,9295,7673,6816,5211
"209",785067.825,1448899.088,4,11019,10492,10405,9556,9049,6960,6247,5241
"210",790149.1935,1431855.776,4,10258,9462,8877,7843,7937,6056,5698,5217
"211",784170.5939,1436376.181,4,10271,9458,8567,7858,7541,6170,5802,5220
"212",795722.7389,1441204.426,4,9919,9140,8319,7483,7325,5752,5442,5087
"214",789638.2401,1431723.359,4,10320,9594,9095,7963,8205,6091,5713,5241
"216",784016.317,1428794.042,4,10516,9735,8776,8119,7711,6246,5853,5254
"217",784193.8515,1428379.795,4,10447,9652,8678,7997,7572,6148,5781,5221
"218",785466.1814,1424917.874,4,10255,9454,8483,7792,7534,6240,5819,5225
"219",782694.672,1424395.133,4,10194,9382,8430,7727,9148,6768,6025,5240
"220",782773.5762,1424237.325,4,10254,9445,8468,7811,7767,6340,5872,5234
"221",785604.2637,1424740.339,4,10189,9404,8454,7765,7474,6166,5758,5216
"222",790644.2685,1424335.955,4,9961,9136,8185,7569,7523,6066,5671,5167
"223",784200.0844,1436660.147,4,10162,9372,8507,7756,7359,6032,5693,5200
"226",782528.8932,1443635.554,4,10398,9650,8898,8308,14773,9828,7576,5232
"227",783376.5989,1445573.167,4,10286,9617,8990,8121,8189,6256,5823,5230
"228",763641.094,1447235.854,4,10190,9404,8694,7979,7676,6105,5642,5138
