"","X","Y","Class","Ultra_Blue","Blue","Green","Red","NIR","SWNIR_1","SWNIR_2","Cirrus"
"1",767854.8258,1441894.391,1,10899,10235,10041,10886,15559,20106,15619,5049
"2",763393.7402,1440594.774,1,11199,10664,10955,12636,17616,22616,17487,5038
"3",763380.944,1442667.763,1,10898,10238,9957,11098,15410,18971,14724,5060
"4",766580.0014,1439558.28,1,10959,10328,10388,11774,16443,20272,15962,5041
"5",760341.8394,1437530.077,1,11347,10905,11492,13915,17729,22971,19693,5077
"6",757577.8538,1437146.19,1,10926,10226,9749,10207,13462,15764,13430,5052
"7",759055.8183,1451356.403,1,11238,10673,10765,12569,16739,20490,16223,5049
"8",759650.843,1451554.745,1,11230,10677,11017,13174,18301,23327,18832,5047
"9",760578.5697,1451234.839,1,11062,10450,10405,11792,16634,21014,16222,5049
"10",757417.9009,1450217.539,1,11458,10901,11126,13463,17032,22335,17591,5054
"11",767738.0602,1451260.432,1,10861,10188,9689,10389,13516,18049,15150,5056
"13",771986.4085,1451951.428,1,11106,10505,10470,11978,16690,21307,16300,5068
"14",791667.0099,1413940.228,1,11051,10480,10330,11090,15527,18267,14356,5070
"16",763748.8356,1421880.288,1,11102,10509,10595,12012,16336,21935,16985,5045
"17",763281.7732,1420946.163,1,11076,10523,10424,11953,16031,19958,15541,5056
"19",776909.7579,1416953.74,1,11088,10547,10516,11782,17306,21172,15735,5062
"20",776986.5353,1415699.709,1,11035,10499,10655,12230,17352,21832,17112,5054
"21",776141.9841,1413268.426,1,10869,10301,10316,11565,16293,19633,14876,5070
"22",767670.88,1415392.6,1,11121,10547,10773,12495,17636,20788,15513,5060
"23",769692.6843,1423403.04,1,10770,10041,9591,10411,14229,16907,13415,5059
"24",775396.6037,1412068.779,1,10980,10417,10470,12062,16721,20959,16775,5045
"25",769657.4947,1417580.755,1,10932,10368,10158,11617,16203,19554,15449,5059
"26",803247.5978,1427081.956,1,11143,10634,10925,12534,17391,21882,16605,5061
"29",799664.6535,1424317.97,1,10899,10292,10280,11913,16274,19842,15547,5042
"31",798359.438,1422692.849,1,10688,10046,9621,10292,14767,17865,13063,5047
"33",794891.6598,1425021.763,1,10831,10233,10148,11140,16063,19904,15595,5059
"35",812195.3614,1431723.788,1,10662,10015,9902,10947,16499,17996,13795,5055
"37",804831.1312,1436669.531,1,11055,10463,10453,11170,17457,20201,15485,5040
"38",774339.3152,1440014.145,1,11906,11421,11470,12478,15097,16711,15389,5037
"40",779046.7283,1447122.451,1,11191,10687,10759,12388,16898,21132,16410,5065
"41",775866.8652,1446943.304,1,11274,10599,11052,14138,17282,24016,18102,5048
"42",791139.1654,1455107.298,1,11136,10473,10424,11769,15590,18723,15058,5051
"43",794306.2322,1455286.446,1,10952,10201,9832,10229,13644,15223,12878,5053
"44",800985.8642,1427403.461,1,10721,10068,9863,10786,15787,18210,13866,5060
"45",797019.033,1427646.589,1,10955,10341,10491,12638,16204,21559,17455,5056
"46",795205.1674,1452656.82,1,11374,10905,11212,13254,18101,23218,17721,5057
